ANO_MES,PRODUTO,#TP_SEGURO,AREA_AMPARADA_ADESAO,AREA_AMPARADA_ComCOP,AREA_AMPARADA_ComCOP_DEFERIDA,QTD_ADESAO,QTD_ComCOP,QTD_ComCOP_DEFERIDA,VL_AMPARADO_ComCOP_DEF,VL_COBERTURA_ComCOP_DEFERIDA_DEF,VL_ADICIONAL_ADESAO_DEF
2013-01-01,CANA-DE-AÇUCAR,PROAGRO MAIS,1075.16,0.0,0.0,167,0.0,0.0,0.0,0.0,94431.12501545275
2013-01-01,CANA-DE-AÇUCAR,PROAGRO TRADICIONAL,1121.6299999999999,0.0,0.0,46,0.0,0.0,0.0,0.0,132762.76751604665
2013-01-01,CANOLA,PROAGRO MAIS,10.0,0.0,0.0,1,0.0,0.0,0.0,0.0,283.68515245143186
2013-01-01,CANOLA,PROAGRO TRADICIONAL,716.0,0.0,0.0,5,0.0,0.0,0.0,0.0,35139.83751397412
2013-01-01,CAQUI,PROAGRO TRADICIONAL,9.23,0.0,0.0,6,0.0,0.0,0.0,0.0,3742.220810511454
2013-01-01,CARÁ,PROAGRO TRADICIONAL,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1170.1764666092165
2013-01-01,CEBOLA,PROAGRO MAIS,41.46,0.0,0.0,17,0.0,0.0,0.0,0.0,18010.55679505663
2013-01-01,CEBOLA,PROAGRO TRADICIONAL,31.689999999999998,0.0,0.0,14,0.0,0.0,0.0,0.0,6174.683175656135
2013-01-01,CEBOLINHA VERDE,PROAGRO MAIS,2.1,0.0,0.0,4,0.0,0.0,0.0,0.0,1658.703477359494
2013-01-01,CENOURA,PROAGRO MAIS,23.759999999999998,0.0,0.0,21,0.0,0.0,0.0,0.0,10692.249258140955
2013-01-01,CHUCHU,PROAGRO MAIS,25.59,0.0,0.0,22,0.0,0.0,0.0,0.0,13954.52936232066
2013-01-01,COCO,PROAGRO MAIS,28.96,0.0,0.0,7,0.0,0.0,0.0,0.0,3263.6681903443628
2013-01-01,COCO,PROAGRO TRADICIONAL,2.5,0.0,0.0,1,0.0,0.0,0.0,0.0,163.69501841790645
2013-01-01,COENTRO,PROAGRO MAIS,0.8,0.0,0.0,1,0.0,0.0,0.0,0.0,222.03429693825544
2013-01-01,COGUMELO,PROAGRO TRADICIONAL,0.18000000000000002,0.0,0.0,3,0.0,0.0,0.0,0.0,2808.3759283364734
2013-01-01,COUVE,PROAGRO MAIS,2.9499999999999997,0.2,0.2,8,1.0,1.0,7412.340459670091,4674.360329684141,2471.427926766871
2013-01-01,COUVE-FLOR,PROAGRO MAIS,22.3,0.66,0.0,21,1.0,0.0,9890.094093387332,0.0,6380.219077037309
2013-01-01,COUVE-FLOR,PROAGRO TRADICIONAL,1.65,0.0,0.0,2,0.0,0.0,0.0,0.0,620.1968983692843
2013-01-01,CRISÂNTEMO,PROAGRO MAIS,0.8300000000000001,0.0,0.0,4,0.0,0.0,0.0,0.0,3250.183924744827
2013-01-01,DENDÊ,PROAGRO MAIS,12.0,0.0,0.0,2,0.0,0.0,0.0,0.0,333.6760841814794
2013-01-01,ESPINAFRE,PROAGRO MAIS,0.15,0.0,0.0,1,0.0,0.0,0.0,0.0,81.75827509836806
2013-01-01,FEIJÃO,PROAGRO MAIS,3162.15,418.89,373.25,431,33.0,27.0,1229550.0279606543,692962.7546969496,191455.9088593717
2013-01-01,FEIJÃO,PROAGRO TRADICIONAL,2184.31,532.0,436.0,52,8.0,7.0,1383287.610276385,329156.2575015264,193039.95313087493
2013-01-01,FIGO,PROAGRO TRADICIONAL,5.5,0.0,0.0,2,0.0,0.0,0.0,0.0,2451.082549553452
2013-01-01,FLORES,PROAGRO MAIS,3.64,0.0,0.0,21,0.0,0.0,0.0,0.0,15086.57311900648
2013-01-01,FLORES,PROAGRO TRADICIONAL,2.7,0.0,0.0,2,0.0,0.0,0.0,0.0,10335.213666788513
2013-01-01,FRUTAS DIVERSAS N. E.,PROAGRO MAIS,2.44,0.0,0.0,2,0.0,0.0,0.0,0.0,1594.5937263546375
2013-01-01,GENGIBRE,PROAGRO MAIS,15.71,0.0,0.0,20,0.0,0.0,0.0,0.0,8460.385173591738
2013-01-01,GERGELIM,PROAGRO MAIS,3.0,0.0,0.0,1,0.0,0.0,0.0,0.0,187.6295898570843
2013-01-01,GIRASSOL,PROAGRO MAIS,47.3,0.0,0.0,3,0.0,0.0,0.0,0.0,915.0065699403342
2013-01-01,GOIABA,PROAGRO MAIS,6.85,0.0,0.0,4,0.0,0.0,0.0,0.0,3483.3427408026996
2013-01-01,GRAMA,PROAGRO MAIS,9.16,0.0,0.0,5,0.0,0.0,0.0,0.0,5969.345572298482
2013-01-01,GUARANÁ,PROAGRO TRADICIONAL,2.8,0.0,0.0,1,0.0,0.0,0.0,0.0,310.9709604881416
2013-01-01,INHAME,PROAGRO MAIS,62.1,1.56,1.56,50,1.0,1.0,34952.16826451234,25627.322687176165,24234.6954977793
2013-01-01,INHAME,PROAGRO TRADICIONAL,90.31,0.98,0.98,66,1.0,1.0,15812.304225494492,7007.67368306752,23334.918216045502
2013-01-01,JILÓ,PROAGRO MAIS,25.27,0.0,0.0,18,0.0,0.0,0.0,0.0,11724.13268314551
2013-01-01,LARANJA,PROAGRO MAIS,487.82,0.0,0.0,97,0.0,0.0,0.0,0.0,100460.65403789034
2013-01-01,LARANJA,PROAGRO TRADICIONAL,461.95,0.0,0.0,31,0.0,0.0,0.0,0.0,136402.98382325808
2013-01-01,LIMÃO,PROAGRO MAIS,123.77,0.0,0.0,25,0.0,0.0,0.0,0.0,18220.812189397642
2013-01-01,LIMÃO,PROAGRO TRADICIONAL,35.66,0.0,0.0,4,0.0,0.0,0.0,0.0,8313.16872092856
2013-01-01,MADEIRA,PROAGRO MAIS,61.03,0.0,0.0,3,0.0,0.0,0.0,0.0,1424.196234741667
2013-01-01,MADEIRA,PROAGRO TRADICIONAL,2.1,0.0,0.0,1,0.0,0.0,0.0,0.0,218.34595370073507
2013-01-01,MAMONA,PROAGRO MAIS,1.1,0.0,0.0,1,0.0,0.0,0.0,0.0,61.51204689671058
2013-01-01,MAMÃO,PROAGRO MAIS,2.2,0.0,0.0,1,0.0,0.0,0.0,0.0,725.4534892550805
2013-01-01,MAMÃO,PROAGRO TRADICIONAL,9.43,0.0,0.0,2,0.0,0.0,0.0,0.0,12220.82957246492
2013-01-01,"MANDIOCA (AIPIM, MACAXEIRA)",PROAGRO MAIS,6171.58,39.04,7.0,1586,12.0,2.0,201170.9454575933,17142.209750051163,483348.8941216369
2013-01-01,"MANDIOCA (AIPIM, MACAXEIRA)",PROAGRO TRADICIONAL,213.16,0.0,0.0,9,0.0,0.0,0.0,0.0,31032.72851037873
2013-01-01,"MANDIOQUINHA (BATATA: BAROA, SALSA, AIPO)",PROAGRO MAIS,21.4,0.0,0.0,9,0.0,0.0,0.0,0.0,7298.378585551653
2013-01-01,"MANDIOQUINHA (BATATA: BAROA, SALSA, AIPO)",PROAGRO TRADICIONAL,11.469999999999999,0.0,0.0,7,0.0,0.0,0.0,0.0,2796.5771959368785
2013-01-01,MANGA,PROAGRO MAIS,24.33,0.0,0.0,11,0.0,0.0,0.0,0.0,7565.743810667175
2013-01-01,MANGA,PROAGRO TRADICIONAL,37.27,0.0,0.0,7,0.0,0.0,0.0,0.0,13965.93149867321
2013-01-01,MARACUJÁ,PROAGRO MAIS,60.84,0.0,0.0,57,0.0,0.0,0.0,0.0,25636.444396258208
2013-01-01,MARACUJÁ,PROAGRO TRADICIONAL,22.11,0.0,0.0,7,0.0,0.0,0.0,0.0,10630.122487371324
2013-01-01,MAÇÃ,PROAGRO MAIS,6.17,0.0,0.0,6,0.0,0.0,0.0,0.0,4740.710848354803
2013-01-01,MELANCIA,PROAGRO MAIS,13.45,0.0,0.0,3,0.0,0.0,0.0,0.0,2429.5672140012502
2013-01-01,MELANCIA,PROAGRO TRADICIONAL,13.45,0.0,0.0,4,0.0,0.0,0.0,0.0,1965.728307179536
2013-01-01,MELÃO,PROAGRO MAIS,2.27,0.0,0.0,4,0.0,0.0,0.0,0.0,1713.9493067128901
2013-01-01,MILHO,PROAGRO MAIS,82456.06,17077.49,15731.48,6341,1038.0,935.0,41565030.06717149,24671437.852197953,4237994.007807493
2013-01-01,MILHO,PROAGRO TRADICIONAL,75162.75,15171.13,12729.43,1174,210.0,177.0,35897509.03834538,14944753.961777342,5303758.990047561
2013-01-01,MORANGO,PROAGRO MAIS,27.46,0.69,0.44999999999999996,121,3.0,2.0,112099.08231526939,78791.65734726055,94596.86250351294
2013-01-01,MORANGO,PROAGRO TRADICIONAL,0.5,0.0,0.0,1,0.0,0.0,0.0,0.0,118.99864391591235
2013-01-01,OUTRAS LAVOURAS,PROAGRO MAIS,10.34,0.0,0.0,13,0.0,0.0,0.0,0.0,16039.11750479964
2013-01-01,PALMEIRA,PROAGRO TRADICIONAL,3.0,0.0,0.0,1,0.0,0.0,0.0,0.0,503.02259626978
2013-01-01,PEPINO,PROAGRO MAIS,12.34,0.0,0.0,27,0.0,0.0,0.0,0.0,10415.127770268122
2013-01-01,PIMENTA,PROAGRO MAIS,3.6,0.0,0.0,3,0.0,0.0,0.0,0.0,1769.6313917180366
2013-01-01,PIMENTA,PROAGRO TRADICIONAL,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,285.0930684184424
2013-01-01,PIMENTA-DO-REINO,PROAGRO MAIS,17.24,0.0,0.0,5,0.0,0.0,0.0,0.0,4202.311884688591
2013-01-01,PIMENTA-DO-REINO,PROAGRO TRADICIONAL,13.71,0.0,0.0,9,0.0,0.0,0.0,0.0,3637.7574117197482
2013-01-01,PIMENTÃO,PROAGRO MAIS,73.68,4.5200000000000005,4.4,97,2.0,1.0,176577.46934585457,130464.59257243146,54840.15125687388
2013-01-01,"PINHA (ATA, FRUTA-DO-CONDE, ANONA)",PROAGRO MAIS,2.7,0.0,0.0,1,0.0,0.0,0.0,0.0,444.52467933061286
2013-01-01,PISCICULTURA,PROAGRO MAIS,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,343.65047476466617
2013-01-01,PLANTAS ORNAMENTAIS,PROAGRO MAIS,2.29,0.0,0.0,5,0.0,0.0,0.0,0.0,6775.744314755488
2013-01-01,PLANTAS ORNAMENTAIS,PROAGRO TRADICIONAL,1.12,0.0,0.0,2,0.0,0.0,0.0,0.0,3745.6117067136906
2013-01-01,PÊSSEGO,PROAGRO MAIS,12.77,0.0,0.0,7,0.0,0.0,0.0,0.0,4902.48237594454
2013-01-01,PÊSSEGO,PROAGRO TRADICIONAL,0.61,0.0,0.0,1,0.0,0.0,0.0,0.0,238.15592625064284
2013-01-01,QUIABO,PROAGRO MAIS,78.61,0.0,0.0,68,0.0,0.0,0.0,0.0,35574.22916430273
2013-01-01,QUIABO,PROAGRO TRADICIONAL,3.92,0.0,0.0,2,0.0,0.0,0.0,0.0,528.3849134783205
2013-01-01,REPOLHO,PROAGRO MAIS,55.65,1.8,0.0,33,1.0,0.0,16099.162146322284,0.0,15502.622202159248
2013-01-01,REPOLHO,PROAGRO TRADICIONAL,8.5,0.0,0.0,2,0.0,0.0,0.0,0.0,3621.4771439885426
2013-01-01,SALSA,PROAGRO MAIS,2.6,0.2,0.2,6,1.0,1.0,11165.368512463529,6565.013005158021,2067.395703839573
2013-01-01,SERINGUEIRA,PROAGRO MAIS,27.9,0.0,0.0,6,0.0,0.0,0.0,0.0,4981.7420959465235
2013-01-01,SERINGUEIRA,PROAGRO TRADICIONAL,31.27,0.0,0.0,4,0.0,0.0,0.0,0.0,4886.697853272141
2013-01-01,SOJA,PROAGRO MAIS,4541.36,49.45,49.45,224,5.0,5.0,130445.73443039447,60450.77570461998,228814.20551150493
2013-01-01,SOJA,PROAGRO TRADICIONAL,4113.56,41.14,0.0,51,1.0,0.0,90247.67127280116,0.0,244421.46958067702
2013-01-01,SORGO,PROAGRO MAIS,2.0,0.0,0.0,1,0.0,0.0,0.0,0.0,74.3022694139183
2013-01-01,SORGO,PROAGRO TRADICIONAL,600.0,0.0,0.0,7,0.0,0.0,0.0,0.0,22834.79077091915
2013-01-01,TANGERINA,PROAGRO MAIS,88.28,0.0,0.0,36,0.0,0.0,0.0,0.0,21150.348210106422
2013-01-01,TANGERINA,PROAGRO TRADICIONAL,9.24,0.0,0.0,7,0.0,0.0,0.0,0.0,2130.652773343282
2013-01-01,TOMATE,PROAGRO MAIS,154.48,5.84,3.92,290,10.0,6.0,350613.17445599876,118306.14755816676,219953.060032374
2013-01-01,TOMATE,PROAGRO TRADICIONAL,9.870000000000001,0.0,0.0,5,0.0,0.0,0.0,0.0,19658.43320033179
2013-01-01,TRIGO,PROAGRO MAIS,781.81,268.67,183.9,51,17.0,12.0,453896.1844328839,261675.75737362317,26211.76645190433
2013-01-01,TRIGO,PROAGRO TRADICIONAL,6030.66,4142.82,3693.44,110,81.0,70.0,8356153.069614668,4470168.115540157,367547.3100899677
2013-01-01,URUCUM,PROAGRO TRADICIONAL,35.09,0.0,0.0,5,0.0,0.0,0.0,0.0,2787.177869621907
2013-01-01,UVA,PROAGRO MAIS,63.36,0.0,0.0,50,0.0,0.0,0.0,0.0,44319.2116612541
2013-01-01,UVA,PROAGRO TRADICIONAL,14.58,0.0,0.0,6,0.0,0.0,0.0,0.0,40437.66665941567
2013-01-01,VAGEM,PROAGRO MAIS,3.86,0.0,0.0,4,0.0,0.0,0.0,0.0,1009.1386417065124
2013-01-01,VIME,PROAGRO TRADICIONAL,6.08,0.0,0.0,3,0.0,0.0,0.0,0.0,569.1351573122149
2013-02-01,ABACATE,PROAGRO TRADICIONAL,12.9,0.0,0.0,1,0.0,0.0,0.0,0.0,2192.967197908533
2013-02-01,ABACAXI,PROAGRO MAIS,147.78,0.0,0.0,79,0.0,0.0,0.0,0.0,80310.28558445685
2013-02-01,ABACAXI,PROAGRO TRADICIONAL,140.03,0.0,0.0,38,0.0,0.0,0.0,0.0,96424.03028358292
2013-02-01,ABOBRINHA,PROAGRO MAIS,19.65,0.89,0.89,16,1.0,1.0,15291.911747363858,1175.753529530423,5800.650841765429
2013-02-01,ABÓBORA-MORANGA,PROAGRO MAIS,21.740000000000002,0.0,0.0,7,0.0,0.0,0.0,0.0,5501.823999160795
2013-02-01,ABÓBORA-MORANGA,PROAGRO TRADICIONAL,23.970000000000002,0.0,0.0,7,0.0,0.0,0.0,0.0,2194.5638320939534
2013-02-01,ACEROLA,PROAGRO MAIS,2.7,0.0,0.0,2,0.0,0.0,0.0,0.0,803.6194951285177
2013-02-01,ACEROLA,PROAGRO TRADICIONAL,2.3,0.0,0.0,1,0.0,0.0,0.0,0.0,417.0171953920606
2013-02-01,AGRIÃO,PROAGRO MAIS,0.7,0.4,0.0,2,1.0,0.0,6445.513648876947,0.0,326.1076044888566
